Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
MME2000MRNO,2019-09-19-12-33-59,2,44,0.6311238180486988,left,both,ambiguous-stable,103,-10,right,right,0.245
MME2000MRNO,2019-09-19-12-33-59,2,45,0.656831985484146,right,probe,ambiguous-stable,-1,0,right,right,0.334
MME2000MRNO,2019-09-19-12-33-59,2,46,0.6188721733362275,right,both,ambiguous-stable,95,0,left,right,0.173
MME2000MRNO,2019-09-19-12-33-59,2,47,0.5996941619231032,left,probe,ambiguous-stable,-1,40,left,left,0.262
MME2000MRNO,2019-09-19-12-33-59,2,48,0.5617839261760224,left,both,ambiguous-stable,93,40,right,right,0.202
MME2000MRNO,2019-09-19-12-33-59,2,49,0.5867643061133423,right,probe,ambiguous-stable,-1,-30,right,right,0.214
MME2000MRNO,2019-09-19-12-33-59,2,50,0.6526464252747495,right,both,ambiguous-stable,108,-30,left,left,0.181
MME2000MRNO,2019-09-19-12-33-59,2,51,0.5639467182675915,left,probe,biased-switch,-1,10,left,left,0.189
MME2000MRNO,2019-09-19-12-33-59,2,52,0.5808997307554341,left,both,biased-switch,104,10,left,right,0.172
MME2000MRNO,2019-09-19-12-33-59,2,53,0.6130153265655125,left,probe,biased-switch,-1,30,right,right,0.177
MME2000MRNO,2019-09-19-12-33-59,2,54,0.6764736225968174,left,both,biased-switch,108,30,right,right,0.227
MME2000MRNO,2019-09-19-12-33-59,2,55,0.5898018938183786,left,probe,biased-switch,-1,20,right,right,0.282
MME2000MRNO,2019-09-19-12-33-59,2,56,0.5188760020129156,left,both,biased-switch,106,20,right,right,0.225
MME2000MRNO,2019-09-19-12-33-59,2,57,0.6129574400364457,right,probe,ambiguous-switch,-1,10,right,right,0.217
MME2000MRNO,2019-09-19-12-33-59,2,58,0.5098458408780042,right,both,ambiguous-switch,110,10,right,left,0.187
MME2000MRNO,2019-09-19-12-33-59,2,59,0.6126462440616163,right,probe,ambiguous-stable,-1,10,right,right,0.252
MME2000MRNO,2019-09-19-12-33-59,2,60,0.6864183230954437,right,both,ambiguous-stable,106,10,left,left,0.177
MME2000MRNO,2019-09-19-12-33-59,3,1,0.5042697022140671,left,probe,ambiguous-switch,-1,10,right,right,0.285
MME2000MRNO,2019-09-19-12-33-59,3,2,0.5516719581702189,left,both,ambiguous-switch,96,10,right,right,0.259
MME2000MRNO,2019-09-19-12-33-59,3,3,0.6889546839176629,right,probe,ambiguous-stable,-1,5,right,right,0.368
MME2000MRNO,2019-09-19-12-33-59,3,4,0.6169149014130952,right,both,ambiguous-stable,106,5,left,right,0.264
